year,muq_weighted,country
2008,0.06208575825346598,Italy
2009,-0.18493834971227202,Italy
2010,0.1033368107047662,Italy
2011,0.11946074563653203,Italy
2012,-0.08105952693031028,Italy
2013,-0.04146391808901792,Italy
2014,0.053548410785805134,Italy
2015,0.09669771877022697,Italy
2016,0.1410286819786614,Italy
2017,0.12924605016223184,Italy
2018,0.1040738863844015,Italy
2019,0.08091357252097929,Italy
2020,-0.43940361048927223,Italy
2021,0.45073501510692393,Italy
2022,0.35934439674975716,Italy
2023,0.29770029307814505,Italy
1956,0.4807002861826965,Japan
1957,0.4042223113415807,Japan
1958,0.17383390869073148,Japan
1959,0.39046091655462123,Japan
1960,0.4943235574124417,Japan
1961,0.5143929263511735,Japan
1962,0.3678832043058752,Japan
1963,0.44663881542118244,Japan
1964,0.385316003028484,Japan
1965,0.33223333968858354,Japan
1966,0.4657476102956886,Japan
1967,0.5070112908821118,Japan
1968,0.46944659489731433,Japan
1969,0.47598039301800993,Japan
1970,0.44981625588750496,Japan
1971,0.2702467640476828,Japan
1972,0.49847994749693264,Japan
1973,0.6620360360563431,Japan
1974,0.41322782641808575,Japan
1975,0.22258302538637154,Japan
1976,0.38593122169534877,Japan
1977,0.35152327234633346,Japan
1978,0.307802438172075,Japan
1979,0.27653085512932085,Japan
1980,0.32042139889742044,Japan
1981,0.24980589732611044,Japan
1982,0.17365906029194006,Japan
1983,0.183105784225391,Japan
1984,0.2332838346707381,Japan
1985,0.2562398976862795,Japan
1986,0.18954922754565356,Japan
1987,0.21315503238195996,Japan
1988,0.2644197130427367,Japan
1989,0.24325513609964156,Japan
1990,0.25281247814142455,Japan
1991,0.15611997360100688,Japan
1992,0.03614835192797426,Japan
1993,0.01084786423928672,Japan
1994,0.024897605212634243,Japan
1995,0.059936631364584506,Japan
1996,0.21720673477781344,Japan
1997,-0.00048305900015639756,Japan
1998,-0.011231086942953652,Japan
1999,-0.03853187294450616,Japan
2000,0.05675860120012807,Japan
2001,-0.10723380213837391,Japan
2002,-0.03361411954526825,Japan
2003,0.007593971599664029,Japan
2004,0.03687743310853706,Japan
2005,0.05504448063193689,Japan
2006,0.051518105093159954,Japan
2007,0.0217255047935222,Japan
2008,-0.2169299347824094,Japan
