year,province,city,city_code,region,gdp_100m,gdp_per_capita,pop_10k,fai_100m,fai_imputed,K_100m,V_100m,urban_q,Kstar_m2,OCR_m2,UCI_m2,UCI_m2_norm,UCI_m2_class,Kstar_orig,OCR_orig,UCI_orig
2021,湖南省,株洲市,430200,中部,3420.0,87852.0,388.0,2991.907859814551,True,19904.16701106811,10371.613644,0.5210775029285403,10326.961229665423,1.9273982508902063,0.27035279433706577,0.39174417340878703,Red,17596.297338033186,1.13115655121641,0.4606590505692515
2022,湖南省,株洲市,430200,中部,3617.0,93284.0,387.0,3164.248751154746,True,22073.20741166945,10058.909031,0.4557067236944528,10746.61829950261,2.05396775027276,0.2218665427604384,0.32563444192936086,Red,18383.214249329023,1.2007262229713234,0.3795259193779899
2023,湖南省,株洲市,430200,中部,3668.0,94983.0,385.0,3208.864920994086,True,24178.41196208006,8707.7165175,0.360144269654957,10827.767112829466,2.233000738760982,0.16128264689011662,0.2189641783905538,Red,18634.399382000884,1.2975149596414781,0.2775646376782199
1990,湖南省,湘潭市,430300,中部,39.03,1483.0,253.62704028021017,4.6754,False,13.358285714285714,,,373.99824581227693,0.035717509009362346,,,,236.57183296858457,0.05646608705128315,
1991,湖南省,湘潭市,430300,中部,43.61,1637.0,255.9506479859895,5.095,False,17.785371428571427,,,404.797313757019,0.0439364858019961,,,,277.08834619093636,0.06418664542577283,
1992,湖南省,湘潭市,430300,中部,51.1715,2324.0,258.6089316987741,7.2444,False,24.140502857142852,,,524.1487013349409,0.0460565919473997,,,,363.7020768276575,0.0663743882567434,
1993,湖南省,湘潭市,430300,中部,69.339,3011.0,258.47506129597195,12.9975,False,35.93097771428571,,,629.2200993403189,0.05710398913187314,,,,476.15529809736273,0.07546062777807978,
1994,湖南省,湘潭市,430300,中部,106.2891,3699.0,261.20984238178636,13.8654,False,47.999828828571424,,,735.6366064153256,0.0652493750446558,,,,665.3935762226416,0.07213749958492327,
1995,湖南省,湘潭市,430300,中部,138.8078,4386.0,261.3341506129597,15.4526,False,61.052437387142845,,,830.2645113496121,0.07353371913717094,,,,842.4562782531657,0.07246956187890861,
1996,湖南省,湘潭市,430300,中部,169.91,5073.0,263.1605253940455,23.0206,False,81.0204155177857,,,926.8101940004993,0.08741856319908156,,,,1010.8501323188053,0.08015076906794448,
1997,湖南省,湘潭市,430300,中部,187.5,5760.0,264.0880560420315,49.9086,False,126.8779947418964,,,1017.5651850782173,0.12468782993213713,,,,1146.8992020859516,0.11062697969545525,
1998,湖南省,湘潭市,430300,中部,200.084,6447.0,265.21639229422067,51.1738,False,171.70789500480157,,,1106.7741395061344,0.15514266992308043,,,,1273.5965609753962,0.13482126150945117,
1999,湖南省,湘潭市,430300,中部,213.381,7134.0,266.34472854640984,49.8649,False,212.9874002545615,,,1194.09472899253,0.17836725603358214,,,,1412.62234928011,0.15077448007466576,
2000,湖南省,湘潭市,430300,中部,224.7749,7822.0,267.367880910683,52.3135,False,254.65153024183343,,,1279.4232441454244,0.1990361918208895,,,,1566.4971511364236,0.16256111928265884,
2001,湖南省,湘潭市,430300,中部,238.2813,8509.0,268.1902276707531,37.0206,False,278.93955372974176,,,1362.170885227973,0.204775741982665,,,,1713.7800743073492,0.16276274763112736,
2002,湖南省,湘潭市,430300,中部,262.2958,9340.0,268.85957968476356,43.0077,False,308.00027604325464,,,1458.6774459574422,0.21115036562527392,,,,1870.5082072377759,0.16466128020795268,
2003,湖南省,湘潭市,430300,中部,267.6868,10056.0,269.6819264448336,89.8413,False,382.4415622410919,,,1541.6929933416368,0.24806596637125888,,,,1907.3806497424882,0.20050615606943722,
2004,湖南省,湘潭市,430300,中部,332.781,12475.0,270.4373380035026,134.2888,False,497.6082841290373,,,1800.7812275580254,0.27632911567154994,,,,2284.0280728745265,0.21786434678220942,
2005,湖南省,湘潭市,430300,中部,366.8374,13604.0,271.661295971979,181.0969,False,653.8247699225855,,,1923.390295245149,0.3399334869989302,,,,2283.0181327573137,0.2863861484678306,
2006,湖南省,湘潭市,430300,中部,422.078,15455.0,278.871173380035,218.76,False,839.8935314264561,,,2161.6478128723393,0.38854318748178884,,,,2445.9461092478714,0.3433818628509045,
