city,Q_w1,K_100m,V_100m,house_price,gdp_per_capita,gdp_100m,pop_10k,per_capita_area_m2,fai_100m,city_tier,region4,province,fai_gdp_ratio,OCR_w1,Kstar_100m,ocr_cluster,ocr_color,Q_w2_extended,OCR_w2_extended
秦皇岛市,1.2817084081076078,5469.465457140286,7017.317364295774,6130.75,57250.5,1299.89825,310.1546755407654,36.864000000000004,874.49575,三线及以下,东部,河北省,0.6737120501757656,0.8633156274043627,7144.60100495687,0,绿色(适度),1.52659363810527,1.257632824548105
宁德市,1.2804680712689416,6143.264679048935,7866.2542748764035,6751.5,56358.0,1623.1142,311.46067415730334,37.408,1225.1483,三线及以下,东部,福建省,0.754813370494818,0.7972930464184386,7705.152712224712,0,绿色(适度),1.3169308324169908,0.7945106233443557
衡水市,1.275955313031002,5967.314264532235,7586.456751013653,4939.0,29749.0,1320.0952499999999,416.5283097055617,36.864000000000004,1158.17085,三线及以下,东部,河北省,0.8782138252016263,1.5565444635380532,3859.5896024382023,1,黄色(轻度过度),1.3226497660513306,1.984325381741306
开封市,1.2649148155458547,6298.459933819785,7919.8317945241915,4500.75,36972.5,1680.4703,477.3549911190053,36.864000000000004,1338.1017000000002,三线及以下,中部,河南省,0.7974800371914059,1.0395579869093887,6057.595769680804,1,黄色(轻度过度),1.1600581742183742,1.3261664980911771
遂宁市,1.2573722150554838,5172.133845276148,6483.5320934500005,5931.25,29241.5,962.13165,296.39375,36.864000000000004,1043.713,三线及以下,西部,四川省,1.0844484772223875,1.9422849156209558,2662.8912657106393,2,橙色(中度过度),0.8143468150458102,1.9683157030481768
青岛市,1.2509387599043769,36160.03547301436,45174.323579908116,12901.25,105963.0,9655.68,948.9594454382825,36.864000000000004,7005.18455,新一线,东部,山东省,0.7247673295482646,0.49802326559919735,72533.47162419642,0,绿色(适度),1.132136236607453,0.6269274747564008
丽江市,1.2494046047798764,1861.6273264528709,2317.645756368583,5074.5,22420.0,299.45079999999996,123.88809716599191,36.864000000000004,309.26324999999997,三线及以下,西部,云南省,1.0298897282931818,2.783778706807089,672.1264594274321,2,橙色(中度过度),1.1746552095133205,2.258014440748569
汕尾市,1.23466270412664,3585.590642321153,4426.995038339411,4365.0,27351.0,828.4882,271.1192145862553,37.408,652.4487,三线及以下,东部,广东省,0.7875171909509393,1.6425094548948393,2182.9954352078407,2,橙色(中度过度),1.3847865386511808,1.6252633455537524
衢州市,1.2315844643982325,5309.85369349083,6528.97849257712,7773.5,56064.0,1198.86025,227.7249805447471,36.864000000000004,931.8908,三线及以下,东部,浙江省,0.7769882395709764,0.9650039602103146,5504.353360983008,0,绿色(适度),1.5300626149156702,1.0722457602095725
江门市,1.2269606480513517,7429.232690396194,9100.191730705854,5254.0,51491.0,2329.40245,469.48542963885427,36.864000000000004,1412.8233,三线及以下,东部,广东省,0.6056804713015664,0.7148157455198549,10385.886736071152,0,绿色(适度),1.099777613489916,0.8154394264288486
