country_code,country_name,region,continent,income_group,latest_q_year,latest_q,latest_urban_pct,avg_q_2010s,avg_ci_gdp_2010s,avg_muq_2010s,q_crossover_year,q_crossover_urban_pct,q_crossover_services_pct,q_crossover_hc,ever_above_1,ever_below_1,gdp_per_capita
PRY,Paraguay,Latin America & Caribbean,Latin America,Upper middle income,2019.0,3.0259727899734346,64.9845298299929,3.8734787033756595,0.19693966190386739,19.545293381518146,,,,,True,False,5821.181995487377
ROU,Romania,Europe & Central Asia,Europe & Central Asia,High income,2019.0,3.852636459604189,52.8931835224862,3.8599123929763492,0.24377339852019766,23.87575770921352,,,,,True,False,12909.6104013244
CZE,Czechia,Europe & Central Asia,Europe & Central Asia,High income,2019.0,3.3008804513868557,72.7876426709563,3.8196219718026008,0.251842538627462,26.592292262355862,,,,,True,False,24062.71900133435
KEN,Kenya,Sub-Saharan Africa,Africa,Lower middle income,2019.0,3.738199113293766,31.1895566421135,3.8047368772907504,0.2072493187965147,27.082509791128555,,,,,True,False,1960.4080885489195
HUN,Hungary,Europe & Central Asia,Europe & Central Asia,High income,2019.0,3.3768454459776684,70.4565277099609,3.800199891732119,0.2180666624147703,10.45007710076415,,,,,True,False,17012.85985531991
MNG,Mongolia,East Asia & Pacific,East Asia & Pacific,Upper middle income,2019.0,3.3970171384951082,67.8277299551557,3.793741342827437,0.3099717334298959,17.60303397786603,1992.0,56.9476949363892,33.7379074640898,2.493046998977661,True,True,4347.546103148724
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Lower middle income,2019.0,3.5438684397877482,61.8430450233765,3.776677088068726,0.2804666850286532,25.083326006350088,,,,,True,False,3560.261510483888
BRA,Brazil,Latin America & Caribbean,Latin America,Upper middle income,2019.0,2.8983356311001214,86.6797991084296,3.7563260562089114,0.18113250399691722,24.933552607825526,,,,,True,False,9029.833044010811
MKD,North Macedonia,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,3.826589662733451,60.6286848102132,3.7547635706352205,0.22887876362729248,23.712032678464208,,,,,True,False,6718.858266354593
PRT,Portugal,Europe & Central Asia,Europe & Central Asia,High income,2019.0,3.3559535618090797,61.114927250613,3.706435756591175,0.16968005880249684,27.8452606828307,,,,,True,False,23343.36289700341
