year,province,city,city_code,region,city_tier,gdp_100m,gdp_per_capita,pop_10k,hc_city,K_100m,Kstar_100m,V_100m,urban_q,OCR,UCI,UCI_norm,UCI_class,fai_gdp_ratio,re_gdp_ratio,debt_gdp_ratio,tertiary_share_pct
1990,山东省,泰安市,370900,东部,三线及以下,83.94,1336.0,612.7426970227672,1.8219266896688293,15.838000000000005,502.1502699032853,,,0.03154035942876307,,,,0.0660388372647129,,,19.335
1991,山东省,泰安市,370900,东部,三线及以下,100.24,1552.0,623.9330297723293,1.8973424155427623,23.866000000000003,648.4306180810057,,,0.03680578821313235,,,,0.0879878292098962,,,19.902
1992,山东省,泰安市,370900,东部,三线及以下,128.3476,2224.0,509.1313485113836,1.9960083663757284,33.092400000000005,791.4769158793666,,,0.04181094778138015,,,,0.0811834424640585,,,22.27
1993,山东省,泰安市,370900,东部,三线及以下,156.4552,2895.0,507.11593695271455,2.0633385181427,52.25328,989.2832848677875,,,0.05281932970997622,,,,0.1330444753514105,,,24.638
1994,山东省,泰安市,370900,东部,三线及以下,184.5628,3567.0,505.8299124343257,2.1321336594125953,79.591516,1216.7189167614708,,,0.06541487512321086,,,,0.162280264495337,,,27.006
1995,山东省,泰安市,370900,东部,三线及以下,205.15,4238.0,505.3980385288967,2.193089147794272,108.4242402,1430.008785012999,,,0.07582068119883223,,,,0.1599429685595905,0.015794296855959,,29.4
1996,山东省,泰安市,370900,东部,三线及以下,260.38,4910.0,508.94900175131346,2.240316997970825,139.66532818999997,1748.935565305439,,,0.07985733205991978,,,,0.1408030570704355,0.007903064751517,,29.2
1997,山东省,泰安市,370900,东部,三线及以下,313.52,5581.0,511.3483012259194,2.2852738307083236,170.43656178049997,2071.796809137136,,,0.08226509522016474,,,,0.1204213447307986,0.0081388747129369,,29.71
1998,山东省,泰安市,370900,东部,三线及以下,344.34,6253.0,514.3618213660246,2.3275136403741423,209.42153369147496,2337.1828288424294,,,0.08960425821509146,,,,0.1379648022303537,0.015716733461114,,31.6
1999,山东省,泰安市,370900,东部,三线及以下,356.31,6924.0,516.8954816112084,2.3697683966363496,240.4381570069012,2558.7309755548517,,,0.09396773607853129,,,,0.1164370912969043,0.013419774915102,,35.8
2000,山东省,泰安市,370900,东部,三线及以下,396.4,7596.0,518.9588791593695,2.416254841903048,287.53164915655617,2913.6978074333524,,,0.09868272832653155,,,,0.1491306760847628,0.0136173057517658,,37.4
2001,山东省,泰安市,370900,东部,三线及以下,448.02,8267.0,521.2046234676008,2.4536475120388563,347.1040666987284,3289.6855291149077,,,0.1055128411596585,,,,0.1650573635105575,0.012341413329762,,38.39
2002,山东省,泰安市,370900,东部,三线及以下,515.2,9458.0,524.4004903677758,2.509896508891529,437.840963363792,3859.155790722762,,,0.11345511482494232,,,,0.2098060947204968,0.0121160714285714,,37.5
2003,山东省,泰安市,370900,东部,三线及以下,604.07,11043.0,525.5905429071804,2.5769552055844125,675.7989151956024,4626.217359046992,,,0.14608023418398525,,,,0.4301653781846474,0.0249573724899432,,36.2
2004,山东省,泰安市,370900,东部,三线及以下,732.11,13341.0,527.797898423818,2.6057744917723817,999.1966694358224,5307.54709505539,,,0.18825959554210883,,,,0.4878880222917321,0.0293622543060469,,34.44
2005,山东省,泰安市,370900,东部,三线及以下,855.66,15547.0,528.594465849387,2.625614945197767,1447.8278359640312,5892.961054350672,,,0.24568766408105222,,,,0.5826975667905476,0.0356639319355818,,31.5
2006,山东省,泰安市,370900,东部,三线及以下,1018.18,18872.0,529.4774080560421,2.6698672956416702,1888.5190441658297,6843.268347800513,,,0.27596741033439326,,,,0.5039213105737689,0.0221482449075801,,32.38
2007,山东省,泰安市,370900,东部,三线及以下,1226.11,22617.0,530.3411558669002,2.670838512723953,2440.093091957538,7488.287417047287,,,0.32585462550523914,,,,0.5268695304662714,0.0279254716134767,,33.02
2008,山东省,泰安市,370900,东部,三线及以下,1513.3,27794.0,532.375761821366,2.6846165895610032,3127.464137359661,8459.891179634722,,,0.3696813671656114,,,,0.5348415383598758,0.0289966959624661,,33.89
2009,山东省,泰安市,370900,东部,三线及以下,1715.663,31375.0,533.4410507880912,2.6983557975863355,4003.0238304916775,9170.810648224811,,,0.4364961816397922,,,,0.601477621187844,0.0304048056057629,,35.57
2010,山东省,泰安市,370900,东部,三线及以下,2051.68,37390.0,534.5735201401051,2.7020541221740846,5073.337138967094,10045.253665207032,,,0.5050481857455944,,,,0.6192313128753023,0.0366029302815253,,36.89
2011,山东省,泰安市,370900,东部,三线及以下,2304.31,41850.0,536.9632224168126,2.6800177559016145,6293.369282018739,10297.706305235308,,,0.6111428210784394,,,,0.6395402528305654,0.0373851174538148,0.0043396938779938,38.47
2012,山东省,泰安市,370900,东部,三线及以下,2547.01,41850.0,536.3873905429072,2.610825486688282,7753.185117917802,9722.95223047697,,,0.7974105944504327,,,,0.6966931028931963,0.042771092378907,0.0039261722568815,40.18
2013,山东省,泰安市,370900,东部,三线及以下,2790.7,49923.0,536.2914185639229,2.779015025125647,9347.302762021913,13011.516278000418,,,0.7183868937570423,,,,0.7101361307198911,0.0452235998136668,0.0100333249722291,41.67
2014,山东省,泰安市,370900,东部,三线及以下,3002.1852,53853.0,539.6504378283713,2.7631636252558214,11178.896123920817,13212.933467436416,,,0.8460570963648207,,,,0.7657617191637612,0.0476613834482962,0.0193192611834872,43.7
2015,山东省,泰安市,370900,东部,三线及以下,3158.39,56490.0,542.9230823117339,2.8082675363539735,13238.191017724776,14484.38647512684,13273.822198207776,1.0026915445195868,0.9139628413297256,1.0970813026279818,0.6593060327767725,黄灯-轻度失调,0.8289792267579369,0.0459585105069354,0.0231130417712822,45.19
2016,山东省,泰安市,370900,东部,三线及以下,3316.79,59027.0,546.0805604203152,2.853202694130812,15475.899266838536,15842.515571787728,14242.24933445044,0.9202857351862236,0.9768587063532979,0.9420868434716968,0.6173604475509971,黄灯-轻度失调,0.8742241142791675,0.054597879274841,0.0239388083056208,46.74
2017,山东省,泰安市,370900,东部,三线及以下,3578.39,63433.0,548.0,2.8924477577117695,17647.07759742067,17372.847850559552,17521.1233344,0.9928625993553132,1.0157849622134512,0.977433843076207,0.6275040804593539,黄灯-轻度失调,0.8229883534002885,0.0455770053012667,0.0119606862303997,47.345
2018,山东省,泰安市,370900,东部,三线及以下,3651.53,64714.0,549.9194395796848,2.8969761838672548,19769.89037964139,17685.102721777148,22874.914460570228,1.157058234583148,1.1178838308525667,1.0350433583968242,0.6432753477739779,黄灯-轻度失调,0.8229883534002885,0.0486656004469359,0.0096397948257305,47.95
2019,山东省,泰安市,370900,东部,三线及以下,2664.0,47248.0,549.9194395796848,2.6430067095772825,20973.836834117687,10580.177678206865,24769.584900920487,1.1809753788409538,1.9823709461250132,0.5957388455220421,0.49114867733562173,橙灯-显著失调,0.8229883534002885,0.0772853228228228,0.014039039039039,50.25
