pref_code,prefecture_jp,prefecture_en,region,year,gdp_nominal_myen,gfcf_nominal_myen,population,gfcf_private_housing_myen,gfcf_private_equip_myen,gdp_per_capita_myen,gdp_growth_nominal,delta_gdp_myen,gfcf_gdp_ratio,pop_growth,muq,muq_ma3,ln_gdp,ln_pop,ln_gdp_pc,sna_basis
24,三重県,Mie,中部,2013,7868057.0,1770358.0,1833461.0,1402215.0,270938.0,4.291368619239788,0.0417728281716212,315492.0,0.22500574156999625,-0.0038483187579324563,0.17820802346192127,0.059841005990914624,15.87832170299967,14.421715995473727,1.4566057075259429,08SNA_2022
24,三重県,Mie,中部,2014,7822878.0,1811733.0,1825701.0,1432918.0,251296.0,4.284862636324349,-0.005742078380977622,-45179.0,0.23159417799945237,-0.004232432541515729,-0.024936897434666146,0.09572009158086488,15.872563075505347,14.417474580836567,1.455088494668781,08SNA_2022
24,三重県,Mie,中部,2015,8067074.0,1823867.0,1815865.0,1461017.0,250521.0,4.442551621403574,0.031215621667626703,244196.0,0.22608779837646215,-0.005387519643139771,0.13388914871533944,0.07890085329528364,15.9033013970517,14.412072496173032,1.491228900878669,08SNA_2022
24,三重県,Mie,中部,2016,8312449.0,1920739.0,1808967.0,1557316.0,263952.0,4.595135787441119,0.03041685250438997,245375.0,0.2310677635435718,-0.0037987405451396228,0.1277503086051775,0.1359099612554063,15.93326482858908,14.408266522088322,1.5249983065007566,08SNA_2022
24,三重県,Mie,中部,2017,8614338.0,2066453.0,1800823.0,1703688.0,254793.0,4.783556185144237,0.03631769650556649,301889.0,0.2398852935652165,-0.0045020168969361896,0.1460904264457019,0.10090235312598982,15.968938582275422,14.403754340594386,1.5651842416810362,08SNA_2022
24,三重県,Mie,中部,2018,8685426.0,2462662.0,1792935.0,2075603.0,245529.0,4.844250349287621,0.008252288219942061,71088.0,0.28353957537603797,-0.004380219488533843,0.028866324327089955,-0.02197597998289495,15.977157006540782,14.399364499838681,1.577792506702102,08SNA_2022
24,三重県,Mie,中部,2019,8182076.0,2089589.0,1782638.0,1709688.0,259190.0,4.589869620192097,-0.05795340378238212,-503350.0,0.25538616360933336,-0.00574309721211308,-0.2408846907214768,-0.04542574233093547,15.917456466110815,14.393604847628703,1.5238516184821118,08SNA_2022
24,三重県,Mie,中部,2020,8330584.0,1960731.0,1770254.0,1567735.0,253856.0,4.705869327226488,0.018150405838322614,148508.0,0.2353653717434456,-0.00694700774918966,0.07574113940158032,-0.02722202035902897,15.935444119728789,14.386633597079324,1.5488105226494635,08SNA_2022
24,三重県,Mie,中部,2021,8497309.0,1997245.0,1755689.0,1617051.0,272067.0,4.839871412305938,0.0200136028878648,166725.0,0.23504441229570444,-0.008227632870763224,0.08347749024280947,0.05202108473893516,15.955260083100615,14.378371930430388,1.5768881526702279,08SNA_2022
24,三重県,Mie,中部,2022,8490601.0,2125896.0,1742174.0,1714177.0,278814.0,4.873566589789538,-0.0007894263936970569,-6708.0,0.25038227564809606,-0.007697832588801301,-0.003155375427584416,0.040161057407612576,15.954470344945818,14.370644316595829,1.583826028349988,08SNA_2022
25,滋賀県,Shiga,近畿,1955,82581.0,17527.0,,,,,,,0.2122401036558046,,,,11.321534908836368,,,68SNA_S30
25,滋賀県,Shiga,近畿,1956,92460.0,23591.0,,,,,0.11962800159843057,9879.0,0.2551481721825654,,0.41876139205629265,0.300345006367313,11.434531397542216,,,68SNA_S30
25,滋賀県,Shiga,近畿,1957,98001.0,30457.0,,,,,0.05992861778066194,5541.0,0.31078254303527514,,0.18192862067833337,0.19618658834905542,11.49273296168228,,,68SNA_S30
25,滋賀県,Shiga,近畿,1958,97643.0,29513.0,,,,,-0.0036530239487352345,-358.0,0.3022541298403367,,-0.012130247687459763,0.21054234296691363,11.489073249147548,,,68SNA_S30
25,滋賀県,Shiga,近畿,1959,115761.0,39231.0,,,,,0.1855534958983236,18118.0,0.3388965195532174,,0.4618286559098672,0.25456522004968196,11.659282999830596,,,68SNA_S30
25,滋賀県,Shiga,近畿,1960,131529.0,50217.0,,,,,0.13621167750796892,15768.0,0.38179412905138793,,0.3139972519266384,0.3437206037906335,11.78698263860567,,,68SNA_S30
