geo,gdp_value,population,country_code,country,nuts_level,gdp_per_capita
DE404,9550.42,182987.0,DE,Germany,5,52191.79504554968
DE405,5224.85,191525.0,DE,Germany,5,27280.250620023497
DE406,8462.62,176373.0,DE,Germany,5,47981.38037001129
DE407,3261.1,99684.0,DE,Germany,5,32714.37743268729
DE408,4344.41,168494.0,DE,Germany,5,25783.766781012975
DE409,5423.56,196930.0,DE,Germany,5,27540.547402630375
DE40A,6777.06,216849.0,DE,Germany,5,31252.438332664664
DE40B,3822.18,109091.0,DE,Germany,5,35036.620802815996
DE40C,7475.44,179748.0,DE,Germany,5,41588.44604668758
DE40D,3321.97,99294.0,DE,Germany,5,33455.898644429675
DE40E,7256.7,219092.0,DE,Germany,5,33121.702298577766
DE40F,2744.35,76322.0,DE,Germany,5,35957.52207751369
DE40G,5690.36,111083.0,DE,Germany,5,51226.20022865785
DE40H,7646.78,175569.0,DE,Germany,5,43554.27210954098
DE40I,4571.58,117822.0,DE,Germany,5,38800.73330956867
DE501,35482.31,576947.0,DE,Germany,5,61500.120461671526
DE502,5079.02,118811.0,DE,Germany,5,42748.735386454115
DE600,155055.06,1832675.0,DE,Germany,5,84605.86847095093
DE711,15417.26,162329.0,DE,Germany,5,94975.38948678301
DE712,90525.28,747389.0,DE,Germany,5,121122.03952693978
DE713,6643.28,130542.0,DE,Germany,5,50889.981768319776
DE714,21087.15,284787.0,DE,Germany,5,74045.3391482055
DE715,9761.61,273288.0,DE,Germany,5,35719.13146570651
DE716,10140.63,300928.0,DE,Germany,5,33697.861282433005
DE717,14911.03,266326.0,DE,Germany,5,55987.8870256753
DE718,17429.85,238534.0,DE,Germany,5,73070.71528587119
DE719,16838.76,415753.0,DE,Germany,5,40501.83642691694
DE71A,17330.0,237671.0,DE,Germany,5,72915.92158908743
DE71B,3041.15,94619.0,DE,Germany,5,32141.00762003403
DE71C,17187.67,353948.0,DE,Germany,5,48559.87320171324
DE71D,5485.52,185684.0,DE,Germany,5,29542.233041080544
DE71E,11307.48,309348.0,DE,Germany,5,36552.6203498972
DE721,12187.48,266314.0,DE,Germany,5,45763.572324399014
DE722,10951.01,253208.0,DE,Germany,5,43249.067959938075
DE723,6451.03,173484.0,DE,Germany,5,37185.1582854903
DE724,11921.55,242197.0,DE,Germany,5,49222.53372254817
DE725,3599.94,101545.0,DE,Germany,5,35451.671672657445
DE731,13264.77,196575.0,DE,Germany,5,67479.43533002671
DE732,10561.04,221445.0,DE,Germany,5,47691.48095463885
DE733,5223.97,118183.0,DE,Germany,5,44202.38105311255
DE734,9053.6,230318.0,DE,Germany,5,39309.1291171337
DE735,7108.57,179406.0,DE,Germany,5,39622.81083129884
DE736,7379.97,155068.0,DE,Germany,5,47591.83068073361
DE737,3545.2,98044.0,DE,Germany,5,36159.27542735914
DE803,10339.23,203909.0,DE,Germany,5,50705.11845970507
DE804,4938.45,97614.0,DE,Germany,5,50591.61595672752
DE80J,9368.03,247735.0,DE,Germany,5,37814.72137566351
DE80K,7298.85,218132.0,DE,Germany,5,33460.70269378175
DE80L,7440.3,215983.0,DE,Germany,5,34448.544561377515
DE80M,5019.35,157108.0,DE,Germany,5,31948.404918909284
DE80N,7890.7,226324.0,DE,Germany,5,34864.618864990014
DE80O,6738.74,209244.0,DE,Germany,5,32205.17673147139
DE911,21673.09,253194.0,DE,Germany,5,85598.75036533251
DE912,5870.13,104564.0,DE,Germany,5,56139.11097509659
DE913,23817.16,127990.0,DE,Germany,5,186086.10047659973
DE914,4915.46,175361.0,DE,Germany,5,28030.519898951305
DE916,4681.39,127856.0,DE,Germany,5,36614.550744587665
DE917,2516.3,90985.0,DE,Germany,5,27656.20706709897
DE918,4446.88,126598.0,DE,Germany,5,35125.989352122466
DE91A,3637.49,136719.0,DE,Germany,5,26605.59249263087
DE91B,3112.53,118296.0,DE,Germany,5,26311.371474944208
DE91C,14242.43,328039.0,DE,Germany,5,43416.88030996315
DE922,8641.73,219641.0,DE,Germany,5,39344.79446005072
DE923,5905.38,150717.0,DE,Germany,5,39181.910467963135
