mun_code,mun_name,gdp_1000brl,year,population,uf_code,uf,regiao,gdp_pc_brl,ln_pop,ln_gdp_pc
2512705,Remígio - PB,224366,2023,18399,25,PB,Nordeste,12194.46709060275,9.820051594294094,9.408737610687627
2512721,Pedro Régis - PB,70516,2023,5932,25,PB,Nordeste,11887.390424814565,8.688116703257823,9.383233489129948
2512747,Riachão - PB,42007,2023,2945,25,PB,Nordeste,14263.83701188455,7.987864096085687,9.565482732941277
2512754,Riachão do Bacamarte - PB,68122,2023,4911,25,PB,Nordeste,13871.3093056404,8.499232866039245,9.537577907241547
2512762,Riachão do Poço - PB,73546,2023,4989,25,PB,Nordeste,14741.631589496894,8.514990767861038,9.598430850899515
2512788,Riacho de Santo Antônio - PB,35322,2023,2063,25,PB,Nordeste,17121.667474551625,7.631916513071252,9.748100044167202
2512804,Riacho dos Cavalos - PB,111761,2023,8788,25,PB,Nordeste,12717.455621301775,9.081142433504501,9.450730787113617
2512903,Rio Tinto - PB,393104,2023,25500,25,PB,Nordeste,15415.843137254902,10.146433731146518,9.643151034721656
2513000,Salgadinho - PB,40278,2023,3435,25,PB,Nordeste,11725.764192139737,8.14177220465645,9.369543767492495
2513109,Salgado de São Félix - PB,177321,2023,11741,25,PB,Nordeste,15102.716974704028,9.370842268630211,9.62262993871678
2513158,Santa Cecília - PB,90463,2023,8113,25,PB,Nordeste,11150.375939849624,9.001222992395064,9.319228492898315
2513208,Santa Cruz - PB,74312,2023,6013,25,PB,Nordeste,12358.556461001164,8.70167907103957,9.422103933009925
2513307,Santa Helena - PB,84256,2023,6023,25,PB,Nordeste,13989.042005645028,8.70334075304372,9.546029588234452
2513356,Santa Inês - PB,40015,2023,3256,25,PB,Nordeste,12289.619164619164,8.08825472712243,9.416510214660853
2513406,Santa Luzia - PB,573425,2023,15418,25,PB,Nordeste,37191.9185367752,9.643290937019207,10.523846773025346
2513505,Santana de Mangueira - PB,60940,2023,5090,25,PB,Nordeste,11972.495088408645,8.53503310954457,9.390367221977268
2513604,Santana dos Garrotes - PB,81502,2023,6618,25,PB,Nordeste,12315.200967059534,8.797548488481558,9.418589629305737
2513653,Joca Claudino - PB,43129,2023,2607,25,PB,Nordeste,16543.536632144227,7.865955413933502,9.713750768704132
2513703,Santa Rita - PB,3163544,2023,160852,25,PB,Nordeste,19667.420983264117,11.988239966534541,9.886718788565435
2513802,Santa Teresinha - PB,66909,2023,4492,25,PB,Nordeste,14895.146927871772,8.410053315858335,9.608790729339871
2513851,Santo André - PB,40211,2023,2708,25,PB,Nordeste,14848.966026587888,7.903965634032166,9.605685513967515
