figure,panel,urban_pct_bin,MUQ_median,MUQ_q25,MUQ_q75,n_obs,component,rho,msa_name,year,region,invest_intensity,dV_GDP,country,beta,ci_lower,ci_upper,metric,note
fig1,b_lower_middle_income,85.72821502501853,3.798950439481891,1.8310863421514432,6.6513287169124045,29.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,11.41540016169273,11.82735748029977,6.903360101740448,14.95657663017914,16.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,18.38672899309525,12.318259290173225,5.640315093510244,14.865928335904968,46.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,25.35805782449777,8.981744579302639,6.030625854738179,13.460436203127365,26.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,32.329386655900294,13.688369446139609,9.206882282135108,16.24860310279888,33.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,39.30071548730281,11.366231799389114,7.744606510922307,15.566334655645102,73.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,46.272044318705326,11.35912374974781,5.935579164378366,14.80054250585958,89.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,53.24337315010786,11.0719803527558,4.651285400703122,15.576280578431923,85.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,60.21470198151037,9.899502148125498,4.763429932757325,15.65509020455829,73.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,67.18603081291289,9.636881971932453,4.082174034183459,15.383802642119939,108.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,74.15735964431539,13.550314932061578,10.793907634090921,17.149843888081296,55.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,81.12868847571792,13.751012380181763,8.968672817379396,16.374959569049157,18.0,,,,,,,,,,,,,
fig1,b_upper_middle_income,88.10001730712045,7.1805553750737925,0.88033971660443,14.483100350586202,34.0,,,,,,,,,,,,,
fig1,b_high_income,32.18211116445941,10.08088521624158,1.5566069818998463,12.675530281273032,6.0,,,,,,,,,,,,,
fig1,b_high_income,38.07931888928903,8.407362166266335,6.642894823724267,12.36453493269691,15.0,,,,,,,,,,,,,
fig1,b_high_income,43.97652661411864,7.883447032433947,4.991928847869028,12.50892923129241,39.0,,,,,,,,,,,,,
fig1,b_high_income,49.87373433894826,11.918928660745154,8.629031540378481,15.270163601518776,38.0,,,,,,,,,,,,,
fig1,b_high_income,55.77094206377787,9.412340448251172,4.592053873625176,14.749911548879847,83.0,,,,,,,,,,,,,
