income_group,year,CPR_median,CPR_ci_lo,CPR_ci_hi,n_countries
Upper middle income,1985,2.8160048673893665,2.336549402694027,3.2954603320847062,29
Upper middle income,1986,2.998591856635607,2.622562728216327,3.374620985054887,29
Upper middle income,1987,3.1823233844236256,2.8477350685718514,3.5169117002754,29
Upper middle income,1988,3.266791261705622,2.9329435056907696,3.6006390177204746,29
Upper middle income,1989,3.1773361960926647,2.8387546586181753,3.515917733567154,29
Upper middle income,1990,3.2773211340220354,2.8935279438822192,3.6611143241618516,35
Upper middle income,1991,3.098050452899483,2.73084137024832,3.465259535550646,35
Upper middle income,1992,3.1829483971294867,2.460596718657447,3.9053000756015264,37
Upper middle income,1993,3.052371232338075,2.42579747785144,3.67894498682471,38
Upper middle income,1994,3.0916852349539994,2.5546584772340006,3.628711992673998,38
Upper middle income,1995,3.4105941425714006,2.6706268942328086,4.150561390909993,40
Upper middle income,1996,3.412051660147888,2.630752882808427,4.193350437487348,41
Upper middle income,1997,3.2700792410302615,2.5290636566130664,4.011094825447457,41
Upper middle income,1998,3.0395728205601937,2.495555592705308,3.5835900484150796,41
Upper middle income,1999,2.682294555244162,2.150852681403479,3.213736429084845,41
Upper middle income,2000,2.933610505567447,2.4640412003436687,3.403179810791225,42
Upper middle income,2001,2.751452912064324,2.282330128194989,3.2205756959336593,42
Upper middle income,2002,2.660966674650125,2.175643388557707,3.1462899607425427,42
Upper middle income,2003,2.782655435340362,2.2495693237358827,3.3157415469448415,42
Upper middle income,2004,3.085377553359587,2.580470326399399,3.5902847803197746,42
Upper middle income,2005,3.38507515331934,2.9473379093661793,3.8228123972725006,43
Upper middle income,2006,3.6008657849721284,3.178460258528124,4.023271311416132,43
Upper middle income,2007,3.947889333309971,3.5149714466937234,4.3808072199262185,43
Upper middle income,2008,4.342624276989805,3.8968911318937347,4.788357422085875,43
Upper middle income,2009,3.8275041796980824,3.4404573137854997,4.214551045610665,43
Upper middle income,2010,4.005243431140277,3.5988809349550444,4.41160592732551,43
Upper middle income,2011,4.2145593405232695,3.780124482576747,4.648994198469793,43
Upper middle income,2012,4.162152114778208,3.7314847829148254,4.592819446641591,43
Upper middle income,2013,4.060378252755358,3.5727488506733067,4.548007654837409,43
Upper middle income,2014,3.749742263745897,3.1931643626228103,4.306320164868984,43
Upper middle income,2015,3.3277108602280143,2.9379746885986577,3.717447031857371,43
Upper middle income,2016,3.1939161947886165,2.8604241167010707,3.5274082728761624,43
Upper middle income,2017,3.3172170739769253,3.0230846567010907,3.61134949125276,43
Upper middle income,2018,3.406630768869055,3.126344822118072,3.686916715620038,43
Upper middle income,2019,3.397017138495108,3.126942344982715,3.6670919320075006,43
High income,1960,3.2711635306155835,1.6012892086390054,4.941037852592162,11
High income,1961,2.828574760369039,1.5608991370965146,4.096250383641563,13
High income,1962,2.639483743608213,1.6504463444105382,3.628521142805888,13
High income,1963,2.9198557510253225,2.1186089424231196,3.7211025596275253,13
High income,1964,2.704295087306199,2.0371952069326493,3.3713949676797483,13
High income,1965,2.2524178865146536,1.672413550851925,2.8324222221773825,13
High income,1966,2.2964373850760027,1.7883399216203193,2.804534848531686,14
High income,1967,2.3783804144822698,1.8911194406585856,2.865641388305954,14
High income,1968,2.295868071759377,1.8400705020572379,2.7516656414615164,14
High income,1969,2.6264381874457974,2.160261544381036,3.0926148305105587,15
High income,1970,2.97820419603147,2.421206219801504,3.535202172261436,34
High income,1971,2.9155912346647015,2.4819920668530626,3.3491904024763404,34
High income,1972,2.8791574115846656,2.4940027954778707,3.2643120276914606,34
High income,1973,3.092783692766454,2.6856912758288205,3.499876109704087,34
High income,1974,3.226770361424185,2.753780018381788,3.699760704466582,34
High income,1975,3.0272350358740034,2.6755427609861275,3.3789273107618794,34
High income,1976,3.0739750052582075,2.764471539863007,3.383478470653408,35
High income,1977,3.0104406033488726,2.306923991138369,3.7139572155593763,37
High income,1978,3.0693790827983283,2.517807292796135,3.6209508728005217,37
High income,1979,3.2154619059872473,2.730862474491737,3.7000613374827576,37
High income,1980,3.241506141071601,2.7210741756405383,3.7619381065026634,38
High income,1981,2.816138033600036,2.3967568851180343,3.235519182082038,38
High income,1982,2.492197419196355,2.149092262049081,2.835302576343629,39
High income,1983,2.3052433808862984,2.0018796177788296,2.6086071439937673,39
High income,1984,2.2265620605111933,1.9341990454116038,2.518925075610783,39
High income,1985,2.093623831371777,1.7882639134216776,2.398983749321877,39
High income,1986,2.323808731388535,2.0219253393219776,2.6256921234550927,39
High income,1987,2.6541880779060776,2.318084415071324,2.9902917407408314,39
High income,1988,2.738284051330037,2.3979181233880067,3.078649979272067,39
High income,1989,2.6341941307987304,2.0834207761012387,3.184967485496222,40
High income,1990,2.750401152268828,2.2019388435162504,3.2988634610214054,44
High income,1991,2.771350762485588,2.3273528150099585,3.2153487099612175,45
High income,1992,2.799220332324528,2.3824943484627488,3.215946316186307,45
High income,1993,2.4774008687270026,2.0956469348455435,2.8591548026084617,46
High income,1994,2.531120201240811,2.1680411981097967,2.8941992043718257,46
High income,1995,2.9035298523372615,2.4437155613810666,3.3633441432934563,49
High income,1996,2.6769625196871987,2.2713969543271064,3.082528085047291,49
High income,1997,2.4356850292836083,2.085381344004622,2.7859887145625946,49
High income,1998,2.309482045222603,1.988555101107531,2.630408989337675,49
High income,1999,2.2587018741338336,1.973834916873913,2.5435688313937543,49
High income,2000,2.1944891771848103,1.6630783793260981,2.7258999750435224,51
High income,2001,2.004612179461501,1.5508803031687435,2.4583440557542584,51
High income,2002,2.0353138863186375,1.6099786863852232,2.460649086252052,51
High income,2003,2.2809295596240573,1.8554416972132357,2.706417422034879,51
High income,2004,2.373595191473724,1.9543941263291624,2.7927962566182853,51
High income,2005,2.4086999539061065,2.0240891764019024,2.7933107314103105,51
High income,2006,2.4511142908582895,2.090400962764957,2.811827618951622,51
High income,2007,2.540043578732975,2.1717945176739843,2.908292639791966,51
High income,2008,2.598548602622964,2.2193294738702614,2.9777677313756667,51
High income,2009,2.418390828344302,2.1105005874115017,2.7262810692771025,51
High income,2010,2.3337959970625697,2.0490694977341026,2.6185224963910367,51
High income,2011,2.418437259394629,2.117717902930242,2.7191566158590157,51
High income,2012,2.4843087535079955,2.2123714167835256,2.7562460902324655,51
High income,2013,2.478891290445174,2.213791976572533,2.743990604317815,51
High income,2014,2.3746118018623936,2.122096117837982,2.6271274858868052,51
High income,2015,2.2216538951871705,2.018852335943252,2.424455454431089,51
High income,2016,2.192784152894418,1.9959783941873104,2.389589911601526,51
High income,2017,2.2351164698424,2.032561711842433,2.4376712278423676,51
High income,2018,2.341108529704723,2.122463773879692,2.559753285529754,51
High income,2019,2.261759240603518,2.051271873575827,2.472246607631209,51
