mun_code,mun_name,uf,regiao,population,gdp_pc_brl,ln_pop,ln_gdp_pc,residual
4311155,Jóia - RS,RS,Sul,7294,47421.716479298055,8.894807371368625,10.766835556334554,0.4845282296355258
4311205,Júlio de Castilhos - RS,RS,Sul,18545,70470.85467781073,9.827955489923692,11.162954494497994,0.8517462520645989
4311239,Lagoa Bonita do Sul - RS,RS,Sul,2283,36891.809023215064,7.733245646529795,10.515744827697276,0.26941270885893864
4311254,Lagoão - RS,RS,Sul,5421,27627.928426489576,8.598035579260339,10.226582439590537,-0.0465334453796693
4311270,Lagoa dos Três Cantos - RS,RS,Sul,1781,45965.18809657496,7.484930283289661,10.735639608459067,0.49699816728041846
4311304,Lagoa Vermelha - RS,RS,Sul,28622,56186.25532806932,10.261930931870822,10.936427438854164,0.6117783637929115
4311403,Lajeado - RS,RS,Sul,96879,69212.38864975898,11.481218056125806,11.144935152313009,0.782523032207358
4311429,Lajeado do Bugre - RS,RS,Sul,2661,24589.627959413756,7.886457270977689,10.11008000534441,-0.14099729398526328
4311502,Lavras do Sul - RS,RS,Sul,7290,50733.19615912208,8.894258825002703,10.834335731909878,0.5520453944668766
4311601,Liberato Salzano - RS,RS,Sul,4845,31490.402476780186,8.485702524324866,10.357438095111526,0.08780132357499504
4311627,Lindolfo Collor - RS,RS,Sul,6420,55001.40186915888,8.767173396684006,10.915113952419942,0.6367596302588368
4311643,Linha Nova - RS,RS,Sul,1721,44249.85473561883,7.450660796211539,10.697607367619813,0.4600273008774529
4311700,Machadinho - RS,RS,Sul,5867,44468.212033407195,8.67709870892586,10.70252987656664,0.4269652947575029
4311718,Maçambará - RS,RS,Sul,4485,82043.03232998886,8.408493774492896,11.314999173107214,1.047753665645999
4311734,Mampituba - RS,RS,Sul,3203,31601.623477989386,8.071843149609158,10.360963774141048,0.10414481220698057
4311759,Manoel Viana - RS,RS,Sul,6915,43867.24511930586,8.841448244098858,10.688923195728618,0.40826847659554666
4311775,Maquiné - RS,RS,Sul,7593,30126.168839720794,8.934982049213234,10.31314946969905,0.02959787646188694
4311791,Maratá - RS,RS,Sul,2521,41311.78103927013,7.83241092718792,10.628902993459738,0.3794995857626571
4311809,Marau - RS,RS,Sul,46748,79966.9504577736,10.752526753053047,11.289368709020911,0.9495251881844542
4311908,Marcelino Ramos - RS,RS,Sul,4382,43937.699680511185,8.385260520155413,10.690527993191598,0.4240020524449175
4311981,Mariana Pimentel - RS,RS,Sul,4005,29409.98751560549,8.29529885950246,10.289089607053068,0.025349906049205728
4312005,Mariano Moro - RS,RS,Sul,1884,37995.2229299363,7.5411524551363085,10.545215718435964,0.30483299715543843
