geo,country_code,country,population,gdp_value,gdp_per_capita,ln_pop,ln_gdp_pc
DE943,DE,Germany,174445.0,9938.42,56971.65295651925,12.069364784696576,10.950309106561502
DE944,DE,Germany,165741.0,10248.47,61834.247410115786,12.01818160793135,11.032212655165175
DE945,DE,Germany,75860.0,3708.87,48890.9833904561,11.23664481524289,10.79734826971804
DE946,DE,Germany,126390.0,5264.48,41652.662394176754,11.747127643641171,10.637120568581453
DE947,DE,Germany,188402.0,6582.08,34936.359486629655,12.146333256779306,10.461283384974767
DE948,DE,Germany,175549.0,8296.98,47263.04336680927,12.075673485197557,10.763483944918274
DE949,DE,Germany,331711.0,18083.01,54514.351348010765,12.712019386881511,10.906219273473175
DE94A,DE,Germany,100089.0,3340.03,33370.60016585239,11.513815069155061,10.415430556775549
DE94B,DE,Germany,143472.0,5995.15,41786.20218579235,11.873895173191828,10.640321472771753
DE94C,DE,Germany,169390.0,5895.42,34803.82549146939,12.039959027580428,10.457482587636722
DE94D,DE,Germany,131228.0,4622.05,35221.52284573414,11.784691547356609,10.46941261921126
DE94E,DE,Germany,356060.0,14278.12,40100.32017075774,12.782854534958854,10.599139597570959
DE94F,DE,Germany,145552.0,8611.52,59164.55974497087,11.888288690061843,10.988077988651295
DE94G,DE,Germany,89127.0,3844.41,43134.06711770844,11.397817597857522,10.672068384238639
DE94H,DE,Germany,55953.0,1983.13,35442.78233517416,10.932267331605557,10.475674909966243
DEA11,DE,Germany,614399.0,64081.57,104299.60009700537,13.328399833210108,11.55502280682049
DEA12,DE,Germany,501671.0,20262.32,40389.65776375354,13.12569980533345,10.606329035229992
DEA13,DE,Germany,572237.0,31287.56,54675.87730258617,13.257308520212952,10.909177891188275
DEA14,DE,Germany,230375.0,11076.69,48081.12859468258,12.347463694972124,10.780645042200705
DEA15,DE,Germany,267333.0,10956.7,40985.2131985202,12.496250351296972,10.62096662694063
DEA16,DE,Germany,172054.0,8007.51,46540.67908912318,12.055563660010879,10.748082028265152
DEA17,DE,Germany,213252.0,7477.63,35064.7590643933,12.270229843973487,10.464951889833568
DEA18,DE,Germany,113731.0,4899.25,43077.52503714906,11.641591289894604,10.670756679228834
DEA19,DE,Germany,165229.0,5554.6,33617.58529071773,12.015087669457019,10.422804580787622
DEA1A,DE,Germany,358568.0,14548.76,40574.61904018206,12.789873600253951,10.610898003310545
DEA1B,DE,Germany,317411.0,11994.69,37789.144043527165,12.667952743058672,10.539777145743724
DEA1C,DE,Germany,489246.0,27192.99,55581.42529525024,13.100620709445646,10.925604346998822
DEA1D,DE,Germany,455818.0,21447.12,47051.93739606597,13.029848886018799,10.759007321552922
DEA1E,DE,Germany,295362.0,10467.87,35440.81499989843,12.595957001671316,10.475619401065728
DEA1F,DE,Germany,455854.0,16044.37,35196.29091770611,13.029927861790828,10.46869598437813
DEA22,DE,Germany,322221.0,28501.5,88453.26654687311,12.682992924509842,11.390229629905129
DEA23,DE,Germany,1021253.0,80305.27,78634.06031610188,13.836540862728535,11.272560221908767
DEA24,DE,Germany,167174.0,9211.8,55103.06626628543,12.026790465148643,10.916960642708538
DEA26,DE,Germany,276675.0,9793.91,35398.608475648325,12.530598811132986,10.474427789751758
DEA27,DE,Germany,473669.0,20203.42,42653.03408076104,13.06826404450737,10.660853689446093
DEA28,DE,Germany,199228.0,6774.0,34001.2448049471,12.202205176503684,10.434152414838307
