country_code,country_name,income_group,year,MUQ_raw,MUQ_ma5,urban_pct
IDN,Indonesia,UMI,2014,,,52.5002136230469
IDN,Indonesia,UMI,2015,,,53.1720771789551
IDN,Indonesia,UMI,2016,,,53.812557220459
IDN,Indonesia,UMI,2017,,,54.4541015625
IDN,Indonesia,UMI,2018,,,55.0956840515137
IDN,Indonesia,UMI,2019,,,55.7382049560547
IDN,Indonesia,UMI,2020,,,56.2785287648768
IDN,Indonesia,UMI,2021,,,56.8761702464027
IDN,Indonesia,UMI,2022,,,57.4934704226599
IDN,Indonesia,UMI,2023,,,58.1179353397878
IND,India,LMI,1960,,,17.9250073975312
IND,India,LMI,1961,,,18.0240089532608
IND,India,LMI,1962,,,18.1435710412125
IND,India,LMI,1963,,,18.283856024527
IND,India,LMI,1964,,,18.4430405128829
IND,India,LMI,1965,,,18.6197192716934
IND,India,LMI,1966,,,18.8124870663716
IND,India,LMI,1967,,,19.019938662331
IND,India,LMI,1968,,,19.2406688249846
IND,India,LMI,1969,,,19.4732723197457
IND,India,LMI,1970,,,19.7163439120276
IND,India,LMI,1971,,,19.973429065388
IND,India,LMI,1972,,,20.2765374145567
IND,India,LMI,1973,,,20.6395528614156
IND,India,LMI,1974,,,21.0444612042606
IND,India,LMI,1975,,,21.4761700378174
IND,India,LMI,1976,,,21.9195869568118
IND,India,LMI,1977,,,22.3596195559694
IND,India,LMI,1978,,,22.7811754300159
IND,India,LMI,1979,,,23.169162173677
IND,India,LMI,1980,,,23.5084873816783
IND,India,LMI,1981,,,23.7875348455702
IND,India,LMI,1982,,,24.0306681216752
IND,India,LMI,1983,,,24.2539519859126
IND,India,LMI,1984,,,24.4606633455594
IND,India,LMI,1985,,,24.654828858249
IND,India,LMI,1986,,,24.8404751816147
IND,India,LMI,1987,,,25.0216289732896
IND,India,LMI,1988,,,25.2023168909072
IND,India,LMI,1989,,,25.3865655921008
IND,India,LMI,1990,,,25.5784017345035
IND,India,LMI,1991,,,25.7797610905819
IND,India,LMI,1992,,,25.9808576702657
IND,India,LMI,1993,18.3181602341807,,26.1767814681192
IND,India,LMI,1994,,,26.3710188638872
IND,India,LMI,1995,19.86477511261028,,26.5661772139368
IND,India,LMI,1996,,,26.7648638746349
IND,India,LMI,1997,,,26.9696862023486
IND,India,LMI,1998,,,27.1832515534447
IND,India,LMI,1999,16.97390050859246,,27.4081672842903
IND,India,LMI,2000,,,27.6470407512523
IND,India,LMI,2001,13.378060240418105,,27.9028652096636
IND,India,LMI,2002,,,28.1756878910456
IND,India,LMI,2003,,,28.4660287698
IND,India,LMI,2004,,,28.7726067228528
IND,India,LMI,2005,,,29.0945497159107
IND,India,LMI,2006,,,29.4309857146804
IND,India,LMI,2007,,,29.7810426848684
IND,India,LMI,2008,,,30.1438485921815
IND,India,LMI,2009,,,30.5185314023263
IND,India,LMI,2010,,,30.9042190810094
IND,India,LMI,2011,,,31.2746502853309
IND,India,LMI,2012,,,31.5898935604399
IND,India,LMI,2013,,,31.9096789235237
IND,India,LMI,2014,,,32.2288233408821
IND,India,LMI,2015,,,32.5472990022299
IND,India,LMI,2016,,,32.8650780972823
IND,India,LMI,2017,,,33.1821328157539
IND,India,LMI,2018,15.447468219305456,,33.4984353473598
IND,India,LMI,2019,,,33.8139578818147
IND,India,LMI,2020,,,34.1286726088333
IND,India,LMI,2021,,,34.4425517181304
IND,India,LMI,2022,,,34.7555673994206
IND,India,LMI,2023,,,35.0676918424186
KOR,Korea,HI,1960,,,27.6858239622977
KOR,Korea,HI,1961,,,28.4487165107257
KOR,Korea,HI,1962,16.002719814962383,,29.2335073020446
KOR,Korea,HI,1963,,,30.0578676824386
KOR,Korea,HI,1964,,,30.9563602392687
KOR,Korea,HI,1965,,,31.9635475598961
KOR,Korea,HI,1966,8.667140351346855,10.047888732977265,33.1034551656567
KOR,Korea,HI,1967,13.069163681318608,10.093725534976391,34.5588302969076
KOR,Korea,HI,1968,8.407362166266335,10.925539417184368,36.5332576645622
KOR,Korea,HI,1969,10.231235940973765,11.490139183643745,38.7099888112837
KOR,Korea,HI,1970,14.252794946016271,10.963797684418791,40.7085270995502
KOR,Korea,HI,1971,,10.678204027952532,42.3477332957849
KOR,Korea,HI,1972,,10.48273919247431,43.7893372123996
KOR,Korea,HI,1973,7.550581196867561,10.097151848053272,45.1473735759202
KOR,Korea,HI,1974,9.6448414345391,10.803771391588905,46.5094025449477
KOR,Korea,HI,1975,13.096032912753154,10.409854905833622,47.9673969434303
KOR,Korea,HI,1976,12.923630022195804,10.665861250868437,49.5736556126164
KOR,Korea,HI,1977,8.83418896281249,11.083331934272667,51.3027034426193
KOR,Korea,HI,1978,8.830612922041636,10.580156689652545,53.0955799830981
KOR,Korea,HI,1979,11.732194851560257,9.798998912138126,54.8987778188484
KOR,Korea,HI,1980,,10.69882725847728,56.6554425515705
KOR,Korea,HI,1981,,10.606310721101543,58.3339941411302
KOR,Korea,HI,1982,11.53367400182995,11.992661151856682,59.950566865243
KOR,Korea,HI,1983,8.553063309914423,11.992661151856682,61.5442686216481
KOR,Korea,HI,1984,15.891246143825676,12.244891667951986,63.149438472478
KOR,Korea,HI,1985,,12.231819627955193,64.7952808591987
KOR,Korea,HI,1986,13.001583216237892,13.195121429857569,66.5771098057876
KOR,Korea,HI,1987,11.481385841842783,12.230923094349649,68.5628466782553
KOR,Korea,HI,1988,12.40627051752392,11.358926194269909,70.5877839860655
KOR,Korea,HI,1989,12.034452801794002,10.889330608764945,72.4660369649545
KOR,Korea,HI,1990,7.87093859395094,10.741316800495486,73.9851161168568
KOR,Korea,HI,1991,10.653605288713088,10.186332228152674,75.1606018983188
KOR,Korea,HI,1992,,11.22631035203384,76.1960694185519
KOR,Korea,HI,1993,,13.201204257224655,77.1082857281795
KOR,Korea,HI,1994,15.154387173437495,15.32191537511381,77.8585649228147
KOR,Korea,HI,1995,13.795620309523384,12.688419602292683,78.400437187912
KOR,Korea,HI,1996,17.01573864238055,11.967296451653077,78.7508147919442
KOR,Korea,HI,1997,4.787932283829298,12.262394542453865,78.9918025094803
