sim,rho_pooled,within_all_negative,paradox,a2_met,shift_strength,mean_gap,mean_abs_beta
128,-0.2552907593705777,True,False,False,1.7169029656486399,0.02098562877690349,0.08636427331818643
129,-0.03373167577000038,True,False,False,1.7902700584451552,0.0149319978000092,0.07577983869108232
130,-0.17117141452357484,False,False,False,1.8499388087929045,0.016789270223296127,0.06548344566100214
131,-0.07437784745425827,True,False,False,2.5136466978116463,0.012055231077903192,0.07109981708754955
132,0.19322137566536812,True,True,False,0.6629613001060424,0.015473400183883837,0.07949227684176058
133,-0.5149585026108934,True,False,False,1.8068336083689478,0.013915258403106342,0.11048050290883007
134,-0.2662036889834021,True,False,False,0.5997087675422927,0.01527880779042781,0.05872680570760949
135,-0.05220355990639078,True,False,False,1.1423414936209784,0.02144837013097452,0.08434054062655956
136,0.3272652171949172,True,True,False,0.6624950343484357,0.02396211224909306,0.08196675231002883
137,0.12506652386486455,True,True,False,1.1522334862146437,0.019461911482357114,0.06387443089573899
138,0.02595038827753573,True,True,False,2.760075070054958,0.013742191222288131,0.08248444980416743
139,0.1995784285218782,True,True,False,2.0696857503761095,0.018576817035880617,0.07847617679108604
140,-0.23628317226955914,True,False,False,0.9889840780500463,0.021397725240469883,0.06921605449890121
141,0.15137287480469605,True,True,False,1.1329555397213216,0.02513188378703091,0.060142060032720074
142,0.28980798420341425,True,True,False,0.5285065143437435,0.02355779191003843,0.059173923895767574
143,-0.5403013555352782,True,False,False,2.4859769127395785,0.01634737349331027,0.09820597557978886
144,0.1374172839698037,False,False,False,2.921421921712762,0.015533111693928063,0.07093445532499082
145,0.15240331281572406,True,True,False,0.7648027125771115,0.02460557114339264,0.07815494346116919
146,0.13654831570211648,True,True,False,2.144475992177087,0.020253922267808738,0.05601802743139145
147,0.28197701763762784,True,True,False,2.8720767354111647,0.020934040181595406,0.06226018312316155
148,-0.3812202569549375,True,False,False,2.137598273872525,0.014651933881477433,0.07550729692373
149,0.14442286004207192,True,True,False,0.8582181811948881,0.012388854552857868,0.05238888627930373
150,0.2525072939239964,True,True,False,1.4883268641536282,0.015142304011808362,0.09046558800560368
151,0.03810821332137648,False,False,False,1.118943700193977,0.01406136419403776,0.07525582715713802
152,-0.0467159592021273,True,False,False,2.0471595616651475,0.019630282456068703,0.049137369139205245
153,-0.30622415334175956,True,False,False,2.7203545048302824,0.018675587170925777,0.12095906914681487
154,-0.39825137995220844,True,False,False,1.654611406732651,0.015666000076593953,0.075477132772682
155,0.40738528925555534,False,False,False,2.0244324559990687,0.01586798173952125,0.05182750627685965
156,-0.5947251630565866,True,False,False,2.7211552981743927,0.011434278015877168,0.12137114756042
157,-0.05247477756959485,False,False,False,0.8113383503623385,0.01548980569049576,0.06933958551201726
158,-0.10332148588703928,True,False,False,0.6709286765989687,0.018940866342440313,0.08531454373032404
159,-0.4079857290639622,True,False,False,0.7098606286772731,0.00998979991311111,0.07921615820567897
160,-0.5252758346559963,True,False,False,0.9920099198062713,0.009454058789497843,0.08615949267520867
161,-0.18806613582246645,True,False,False,2.0596989501954357,0.018962108005702232,0.11837251390839962
162,0.2214617218464432,True,True,False,1.4724965187603816,0.022966143777568882,0.07246443557252269
163,0.04286607349776862,True,True,False,1.6466320984566802,0.014310778483029465,0.09534668469157359
164,0.07772694799999463,True,True,False,2.7548708041553374,0.01539619996511007,0.04742452462628309
165,0.10539429103377158,True,True,False,2.4652840321856493,0.015362559308725343,0.0759049222963078
166,0.5305811500231586,False,False,False,0.8535849361766508,0.023773114696907294,0.05038305886884021
167,-0.07922938770645403,False,False,False,2.842306163362796,0.013078630866650879,0.055345285493916825
168,0.2112543216827255,True,True,False,0.8939002845581974,0.019262905844636687,0.06169882970485495
169,-0.530847433886961,True,False,False,2.015084656927228,0.014353441879100115,0.12542110773096407
170,-0.5360637588487159,False,False,False,1.8115481237119608,0.014413989092678157,0.07120175797565846
171,0.4615695862549489,False,False,False,1.0138313503814083,0.019054653578424122,0.03582654517979845
172,0.3017204836425422,False,False,False,2.6577757391171626,0.024130585748998918,0.06258436267917039
173,-0.5290600759261516,True,False,False,1.6935745979051595,0.016456523328020212,0.11622414165788666
174,-0.2917890205722635,True,False,False,1.4366605385349387,0.019559194947852576,0.1067248892636592
175,0.01602478162238867,True,True,False,2.531380951953213,0.023578870456415074,0.11706696966049954
176,-0.6348925574587507,True,False,False,1.867726926665971,0.015605408672192872,0.10829409783208271
177,0.09886543243501178,False,False,False,2.5508332120314017,0.013458014523481956,0.11828621428568081
178,-0.30759358310655077,True,False,False,1.3273209570474234,0.010873699981374033,0.11548970349268935
179,-0.10560115525705968,True,False,False,1.4901727751542801,0.013844934128543637,0.08904089475408958
180,-0.585546131585159,True,False,False,1.7512936806711599,0.012152805596031517,0.11413647539849231
181,-0.6368165430898761,True,False,False,1.0360413738932035,0.018051620818688604,0.0951860622960066
182,-0.12525288931789397,True,False,False,2.7366871366590213,0.016808970627421847,0.09060816407917326
183,-0.1868474716285608,True,False,False,2.3036949016111397,0.016536138114111785,0.07035893055318454
184,-0.46802948176484066,True,False,False,1.2642196821203222,0.025321799169249436,0.09782778686083203
185,-0.3832413594632945,True,False,False,0.6223364397023002,0.017681069385041177,0.10276188856137039
186,-0.4749402122265609,True,False,False,0.6310846726217779,0.021296756527286617,0.10037398493973078
187,0.33558717007551253,False,False,False,2.1779417896200384,0.01171797631249121,0.04507272732489321
188,-0.020052156303123483,True,False,False,0.6309414994632527,0.019765303957167073,0.05362929208052352
189,-0.08563726448356128,True,False,False,1.3328335213891944,0.011992274427617472,0.104078901153465
190,-0.07381763544323981,True,False,False,2.1256321561997558,0.01469743599531345,0.1010563415882424
